,ID,Name,Symbol,GICS Sector,Relative Sector Valuation,Absolute Sector Valuation,30D Momentum Transition,90D Momentum Transition,1Y Momentum Transition,30D Momentum Label,90D Momentum Label,1Y Momentum Label,Date
3,377,Pool Corporation,POOL,Consumer Discretionary,Undervalued,Undervalued,0.0,-1.0,2.0,Normal,Normal,High,2023-11-04
0,235,Hologic,HOLX,Health Care,Undervalued,Undervalued,1.0,1.0,0.0,Normal,Low,Normal,2023-11-05
1,285,Lam Research,LRCX,Information Technology,Undervalued,Undervalued,3.0,0.0,-1.0,High,Normal,High,2023-11-05
2,326,Monolithic Power Systems,MPWR,Information Technology,Very Undervalued,Very Undervalued,3.0,0.0,0.0,Very High,Low,High,2023-11-05
3,377,Pool Corporation,POOL,Consumer Discretionary,Undervalued,Undervalued,0.0,-1.0,2.0,Normal,Normal,High,2023-11-05
0,235,Hologic,HOLX,Health Care,Undervalued,Very Undervalued,2.0,1.0,0.0,High,Low,Normal,2023-11-06
1,326,Monolithic Power Systems,MPWR,Information Technology,Very Undervalued,Very Undervalued,3.0,0.0,0.0,Very High,Low,High,2023-11-06
0,235,Hologic,HOLX,Health Care,Undervalued,Very Undervalued,1.0,1.0,0.0,Normal,Low,Normal,2023-11-07
1,326,Monolithic Power Systems,MPWR,Information Technology,Very Undervalued,Very Undervalued,3.0,0.0,0.0,Very High,Low,High,2023-11-07
0,235,Hologic,HOLX,Health Care,Undervalued,Very Undervalued,1.0,1.0,-1.0,Normal,Normal,Normal,2023-11-08
1,326,Monolithic Power Systems,MPWR,Information Technology,Very Undervalued,Very Undervalued,2.0,0.0,0.0,Very High,Low,High,2023-11-08
2,474,Viatris,VTRS,Health Care,Very Undervalued,Undervalued,2.0,0.0,-1.0,Normal,High,Low,2023-11-08
0,235,Hologic,HOLX,Health Care,Undervalued,Very Undervalued,1.0,1.0,-1.0,Normal,Normal,Normal,2023-11-09
1,474,Viatris,VTRS,Health Care,Very Undervalued,Undervalued,2.0,0.0,-1.0,Normal,High,Low,2023-11-09
0,326,Monolithic Power Systems,MPWR,Information Technology,Very Undervalued,Very Undervalued,2.0,0.0,0.0,High,Low,High,2023-11-11
0,326,Monolithic Power Systems,MPWR,Information Technology,Very Undervalued,Very Undervalued,2.0,0.0,0.0,High,Low,High,2023-11-12
1,474,Viatris,VTRS,Health Care,Very Undervalued,Undervalued,1.0,1.0,-1.0,Low,High,Low,2023-11-12
0,326,Monolithic Power Systems,MPWR,Information Technology,Very Undervalued,Very Undervalued,2.0,0.0,0.0,High,Low,High,2023-11-13
0,326,Monolithic Power Systems,MPWR,Information Technology,Very Undervalued,Very Undervalued,2.0,0.0,0.0,High,Low,High,2023-11-14
